GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BADHABINOT Backend,com.badhabinot.backend.exception.auth,UserProvisioningException,5,0,0,0,2,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.exception.auth,InvalidRefreshTokenException,0,4,0,0,0,2,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.exception.auth,AuthenticationFailedException,4,0,0,0,2,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.exception.auth,DuplicateEmailException,0,4,0,0,0,2,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.auth,RefreshToken,17,32,3,1,5,10,5,4,3,4
BADHABINOT Backend,com.badhabinot.backend.model.auth,AuthUser,22,36,0,0,10,11,5,5,5,5
BADHABINOT Backend,com.badhabinot.backend.model.auth,UserRole,0,15,0,0,0,3,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.auth,AccountStatus,0,21,0,0,0,4,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,ChatContextBuilderService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,BehaviorEventService,346,5,30,0,93,1,28,1,10,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,GroundedChatService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,MonitoringExperienceService,372,355,21,13,62,68,26,16,13,12
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,ReminderEngineService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,ChatContextBuilderService,575,5,22,0,135,1,29,1,18,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,AnalysisOrchestratorService,247,400,18,16,72,102,20,14,4,13
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,GroundedChatService,70,343,11,11,17,82,10,17,1,15
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,BehaviorEventService.PendingEvent,24,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,BehaviorEventService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,ReminderEngineService,183,321,35,15,36,69,30,20,6,17
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,DailyReportService,52,433,6,12,12,93,7,19,2,15
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,DailyReportService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.monitoring,DailyReportService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.security,CurrentUserClaims,19,0,0,0,2,0,2,0,2,0
BADHABINOT Backend,com.badhabinot.backend.controller.monitoring,MonitoringController,98,0,0,0,20,0,14,0,14,0
BADHABINOT Backend,com.badhabinot.backend.dto.auth,AuthenticatedUserResponse,18,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.auth,RegisterRequest,0,18,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.auth,LoginRequest,9,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.auth,TokenResponse.UserSummary,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.auth,LogoutRequest,6,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.auth,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.auth,TokenResponse,0,18,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,HydrationLog,10,37,0,0,5,11,3,4,3,4
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,ActivityFeedItem,7,70,0,2,4,21,2,10,2,9
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,AnalysisStatus,0,21,0,0,0,4,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,MonitoringSession,22,45,0,0,10,15,5,6,5,6
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,MonitoringSessionStatus,0,15,0,0,0,3,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,BehaviorEvent,28,68,0,0,11,20,9,6,9,6
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,ChatMessage,7,56,0,0,4,16,2,9,2,9
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,AnalysisJob,56,59,0,0,22,19,14,6,14,6
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,ReminderEvent,7,74,0,0,4,23,2,11,2,11
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,ActivityCategory,0,27,0,0,0,5,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.monitoring,DailyReport,43,66,0,0,17,22,12,7,12,7
BADHABINOT Backend,com.badhabinot.backend.integration.python,AiAnalysisClient.AiAnalysisInvocation,0,9,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.integration.python,AiAnalysisClient,15,89,2,4,4,27,2,6,0,5
BADHABINOT Backend,com.badhabinot.backend.integration.python,AiChatClient,15,75,2,4,4,24,2,6,0,5
BADHABINOT Backend,com.badhabinot.backend.integration.python,VisionServiceClient,15,75,2,4,4,24,2,6,0,5
BADHABINOT Backend,com.badhabinot.backend.controller.user,InternalUserController,16,0,0,0,6,0,3,0,3,0
BADHABINOT Backend,com.badhabinot.backend.controller.user,UserController,45,0,0,0,9,0,7,0,7,0
BADHABINOT Backend,com.badhabinot.backend.integration.redis,AnalysisJobStateStore.StoredAnalysisJobState,48,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.integration.redis,AnalysisJobStateStore,263,4,6,0,82,1,13,1,10,1
BADHABINOT Backend,com.badhabinot.backend.service.auth,RefreshTokenService,54,0,0,0,12,0,3,0,3,0
BADHABINOT Backend,com.badhabinot.backend.service.auth,TokenIssuer.IssuedAccessToken,0,9,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.auth,RefreshTokenService.GeneratedRefreshToken,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.service.auth,AuthApplicationService,116,136,5,3,19,33,11,6,8,5
BADHABINOT Backend,com.badhabinot.backend.service.auth,TokenIssuer,61,0,0,0,19,0,2,0,2,0
BADHABINOT Backend,com.badhabinot.backend.exception,GlobalApiExceptionHandler,127,0,2,0,22,0,13,0,12,0
BADHABINOT Backend,com.badhabinot.backend.controller.auth,AuthController,32,0,0,0,9,0,6,0,6,0
BADHABINOT Backend,com.badhabinot.backend.model.user,UserProfile,41,43,0,0,17,14,9,4,9,4
BADHABINOT Backend,com.badhabinot.backend.model.user,Sensitivity,0,21,0,0,0,4,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.model.user,UserSettings,22,97,0,0,10,32,5,12,5,12
BADHABINOT Backend,com.badhabinot.backend.model.user,UserConsent,27,41,5,1,10,15,10,5,7,5
BADHABINOT Backend,com.badhabinot.backend.model.user,ModelMode,0,9,0,0,0,2,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend,BackendApplication,8,0,0,0,3,0,2,0,2,0
BADHABINOT Backend,com.badhabinot.backend.service.user,UserContextService,304,170,2,0,75,48,16,9,15,9
BADHABINOT Backend,com.badhabinot.backend.controller.platform,PlatformInfoController,29,0,0,0,6,0,2,0,2,0
BADHABINOT Backend,com.badhabinot.backend.exception.monitoring,DownstreamServiceException,0,10,0,0,0,4,0,2,0,2
BADHABINOT Backend,com.badhabinot.backend.exception.monitoring,DownstreamTimeoutException,0,5,0,0,0,2,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.config.persistence,MultiDataSourceConfiguration.UserJpaConfiguration,3,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config.persistence,MultiDataSourceConfiguration,172,0,0,0,33,0,21,0,21,0
BADHABINOT Backend,com.badhabinot.backend.config.persistence,MultiDataSourceConfiguration.AuthJpaConfiguration,3,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config.persistence,MultiDataSourceConfiguration.MonitoringJpaConfiguration,3,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.integration.health,DownstreamServicesHealthIndicator,65,0,0,0,22,0,4,0,4,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,HydrationLogRequest,15,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisRequest.VisionEvidence,30,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.Message,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,HydrationLogResponse,15,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,VisionAnalysisResponse.Processing,0,21,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ChatRequest,0,9,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,InternalUserAnalysisContext,0,42,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisResponse,0,27,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatResponse,0,18,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ReminderEventResponse,0,30,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisRequest.VisionContext,0,21,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ChatMessageResponse,0,21,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisRequest,0,33,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AnalyzeFrameResponse,0,45,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisRequest.AnalysisSettings,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.Context,0,72,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,BehaviorEventResponse,0,36,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,VisionAnalysisResponse.Detection,18,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.DailySnapshot,33,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,VisionAnalysisRequest,0,24,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,SessionStartResponse,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,DailyReportResponse,0,51,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.Reminder,15,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ActivityItemResponse,0,24,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AnalyzeFrameRequest,0,18,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ChatResponse,0,24,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,SessionStartRequest,0,9,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.Fact,0,9,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ChatHistoryResponse,0,9,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,SessionStopResponse,12,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.Event,21,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ChatResponse.ModelDetails,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest.SessionSnapshot,18,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AnalysisJobStatusResponse,0,45,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisResponse.ModelDetails,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,ReminderTriggerRequest,15,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,VisionAnalysisResponse.Signals,0,42,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisRequest.VisionSignals,0,42,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,VisionAnalysisResponse.Evidence,30,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatRequest,0,24,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,DashboardResponse,0,42,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AnalyzeFrameResponse.ModelDetails,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,VisionAnalysisResponse,0,24,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiChatResponse.ModelDetails,0,12,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,WeeklyTrendResponse,12,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AiAnalysisRequest.VisionDetection,18,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,AnalyzeFrameResponse.ProcessingDetails,0,30,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.monitoring,WeeklyTrendPointResponse,15,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,ConsentResponse,18,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,UpdateConsentsRequest,12,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,UpdateSettingsRequest,30,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,UserContextResponse,24,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,InternalUserAnalysisContextResponse,0,42,0,0,0,1,0,1,0,1
BADHABINOT Backend,com.badhabinot.backend.dto.user,InternalUserBootstrapRequest,18,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,SettingsResponse,33,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,UpdateProfileRequest,12,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.dto.user,UserProfileResponse,21,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config,ClientConfiguration,73,0,0,0,14,0,6,0,6,0
BADHABINOT Backend,com.badhabinot.backend.config,MonitoringRedisProperties,25,0,6,0,6,0,4,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config,IntegrationProperties,12,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config,SecurityConfiguration.InternalApiKeyFilter,42,0,6,0,11,0,5,0,2,0
BADHABINOT Backend,com.badhabinot.backend.config,CacheConfiguration,42,0,0,0,11,0,5,0,5,0
BADHABINOT Backend,com.badhabinot.backend.config,InternalSecurityProperties,6,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config,OpenApiConfiguration,38,0,0,0,12,0,2,0,2,0
BADHABINOT Backend,com.badhabinot.backend.config,IntegrationProperties.Downstream,12,0,0,0,1,0,1,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config,CacheConfiguration.new CacheErrorHandler() {...},71,0,0,0,9,0,5,0,5,0
BADHABINOT Backend,com.badhabinot.backend.config,SecurityConfiguration,168,0,0,0,29,0,11,0,11,0
BADHABINOT Backend,com.badhabinot.backend.config,UserCacheProperties,13,0,2,0,3,0,2,0,1,0
BADHABINOT Backend,com.badhabinot.backend.config,JwtProperties,38,0,8,0,5,0,5,0,1,0
